Table 7 - Staff Costs of each Institution by Activity 2001/02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3599386,43558,84759,898862,110464,4737029,,1085848,544908,875752,359110,263819,250706,244990,3625133,,1,,
,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2932753,38703,74251,737097,87233,3870037,,886627,439834,717341,287213,214909,204019,189572,2939515,,2,,
,,,,,,,,,,,,,,,,,,,,
150,,Total Scotland,,398603,2838,4351,113429,13741,532962,,131639,65758,99515,46340,29991,35315,35040,443598,,150
151,,,The University of Aberdeen,28510,34,62,14709,1772,45087,,8791,5162,6996,3403,3468,2554,1305,31679,,151
152,,,University of Abertay Dundee,8438,0,0,246,260,8944,,1779,1902,2044,1059,346,759,1388,9277,,152
153,,,Bell College(#1),6148,298,0,0,0,6446,,289,406,1954,292,147,0,892,3980,,153
154,,,The University of Dundee,33679,268,203,15207,589,49946,,9411,4673,5979,3271,1757,3117,1198,29406,,154
155,,,Edinburgh College of Art,4018,121,0,73,0,4212,,1238,407,1234,871,109,326,274,4459,,155
156,,,The University of Edinburgh,62517,25,166,32251,1468,96427,,27317,11934,14270,8294,6054,8954,5998,82821,,156
157,,,Glasgow Caledonian University,21597,825,858,683,4606,28569,,3859,2746,5489,666,777,1671,2379,17587,,157
158,,,Glasgow School of Art,3822,0,0,0,0,3822,,1135,662,683,760,16,0,0,3256,,158
159,,,The University of Glasgow,68180,166,1150,30701,2915,103112,,15543,9703,13381,7855,3180,6808,2159,58629,,159
160,,,Heriot-Watt University,18200,0,0,4591,0,22791,,8538,3114,6472,2820,3269,335,2074,26622,,160
161,,,Napier University,20126,0,0,1162,434,21722,,4218,4167,5961,1761,686,0,604,17397,,161
162,,,Northern College of Education(#15),1863,0,0,3,0,1866,,0,376,607,255,128,0,0,1366,,162
163,,,The University of Paisley,15859,218,364,904,1,17346,,3685,3226,3534,1983,427,0,609,13464,,163
164,,,"Queen Margaret University College, Edinburgh",6991,0,0,0,0,6991,,1517,1157,2472,691,626,762,93,7318,,164
165,,,The Robert Gordon University,16209,0,7,159,624,16999,,3909,3082,3742,2211,501,987,7268,21700,,165
166,,,The Royal Scottish Academy of Music and Drama,2907,0,0,11,0,2918,,223,748,737,234,0,49,0,1991,,166
167,,,The University of St Andrews,16364,0,0,8228,0,24592,,6706,2621,4762,2277,3019,180,218,19783,,167
168,,,Scottish Agricultural College,4270,491,1093,232,0,6086,,9966,1146,2548,486,59,542,5307,20054,,168
169,,,The University of Stirling,18790,0,0,3358,575,22723,,3554,2804,4643,2244,2590,608,1429,17872,,169
170,,,The University of Strathclyde,40115,392,448,911,497,42363,,19961,5722,10407,4907,2832,7663,1845,53337,,170
171,,,UHI Millennium Institute(#1)(#18),0,0,0,0,0,0,,0,0,1600,0,0,0,0,1600,,171
,,,,,,,,,,,,,,,,,,,,
172,,Total Great Britain,,3509682,42673,81889,883737,107077,4625058,,1064360,531146,859900,349050,259790,247045,240222,3551513,,172
,,,,,,,,,,,,,,,,,,,,
173,,Total Northern Ireland,,89704,885,2870,15125,3387,111971,,21488,13762,15852,10060,4029,3661,4768,73620,,173
174,,,The Queen's University of Belfast,47465,66,574,10678,2006,60789,,12371,5436,9034,4193,1799,2912,2920,38665,,174
175,,,St Mary's University College,2216,0,0,0,0,2216,,343,393,361,281,0,0,0,1378,,175
176,,,Stranmillis University College,2345,427,966,35,0,3773,,130,0,0,0,491,0,0,621,,176
177,,,University of Ulster,37678,392,1330,4412,1381,45193,,8644,7933,6457,5586,1739,749,1848,32956,,177
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
